id;name;englishName;website;label
fac1;Khoa Khoa học Máy tính;Faculty of Computer Science;https://cs.uit.edu.vn/;Faculty
fac2;Khoa Hệ thống Thông tin;Faculty of Information Systems;https://httt.uit.edu.vn/;Faculty
fac3;Khoa Công nghệ Phần mềm;Faculty of Software Engineering;https://se.uit.edu.vn/vi/;Faculty
fac4;Khoa Kỹ thuật Máy tính;Faculty of Computer Engineering;https://fce.uit.edu.vn/;Faculty
fac5;Khoa MMT và Truyền thông;Faculty of Computer Networks and Communications;https://nc.uit.edu.vn/;Faculty
fac6;Khoa Khoa học và Kỹ thuật Thông tin;Faculty of Information Science and Engineering;https://fit.uit.edu.vn/;Faculty
